,frame_id,time,data,dlc,flags,msg_name,msg_comment,signals
665,37,5061,bytearray(b'\x00\x05 \x03\xf0\x02\x00G'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
666,37,5071,bytearray(b'\x00\x05 \x03\xf0\x02\x00G'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
667,705,5078,bytearray(b'\x08\x02\xab\xfc`\xff\x00\xdb'),8,2,ENG1S01,,"[['EACCP', 0.0, '%']]"
668,37,5081,bytearray(b'\x00\x05 \x03\xf0\x02\x00G'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
669,37,5091,bytearray(b'\x00\x05 \x03\xf0\x02\x00G'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
670,37,5101,bytearray(b'\x00\x05 \x03\xe0\x02\x007'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
671,705,5109,bytearray(b'\x08\x02\xab\xfc`\xff\x00\xdb'),8,2,ENG1S01,,"[['EACCP', 0.0, '%']]"
672,37,5111,"bytearray(b""\x00\x05 \x03\xd0\x02\x00\'"")",8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
673,37,5121,bytearray(b'\x00\x05 \x03\xd0\x01\x00&'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
674,37,5131,bytearray(b'\x00\x05 \x03\xd0\x01\x00&'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
675,37,5141,bytearray(b'\x00\x05 \x03\xd0\x01\x00&'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
676,705,5141,bytearray(b'\x08\x02\xab\xfc`\xff\x00\xdb'),8,2,ENG1S01,,"[['EACCP', 0.0, '%']]"
677,37,5151,bytearray(b'\x00\x05 \x03\xd0\x01\x00&'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
678,37,5161,bytearray(b'\x00\x05 \x03\xd0\x01\x00&'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
679,37,5171,bytearray(b'\x00\x05 \x03\xd0\x01\x00&'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
680,705,5173,bytearray(b'\x08\x02\xab\xfc`\xff\x00\xdb'),8,2,ENG1S01,,"[['EACCP', 0.0, '%']]"
681,37,5181,bytearray(b'\x00\x05 \x03\xd0\x01\x00&'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
682,37,5191,bytearray(b'\x00\x05 \x03\xd0\x01\x00&'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
683,37,5201,bytearray(b'\x00\x05 \x03\xd0\x01\x00&'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
684,705,5205,bytearray(b'\x08\x02\xab\xfc`\xff\x00\xdb'),8,2,ENG1S01,,"[['EACCP', 0.0, '%']]"
685,37,5211,bytearray(b'\x00\x05 \x03\xd0\x01\x00&'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
