,time,frame_id,msg_name,signals
814,5354,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -468.0, 'deg']]"
815,5364,705,ENG1S01,"[['EACCP', 15.5, '%']]"
816,5364,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -466.5, 'deg']]"
817,5374,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -466.5, 'deg']]"
818,5383,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 7.078125, 'km/h']]"
819,5384,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -466.5, 'deg']]"
820,5394,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -465.0, 'deg']]"
821,5395,705,ENG1S01,"[['EACCP', 15.5, '%']]"
822,5404,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -465.0, 'deg']]"
823,5414,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -463.5, 'deg']]"
824,5425,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -463.5, 'deg']]"
825,5427,705,ENG1S01,"[['EACCP', 15.5, '%']]"
826,5431,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 7.11328125, 'km/h']]"
827,5434,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -462.0, 'deg']]"
828,5444,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -462.0, 'deg']]"
829,5454,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -460.5, 'deg']]"
830,5459,705,ENG1S01,"[['EACCP', 15.5, '%']]"
831,5465,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -460.5, 'deg']]"
832,5474,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -460.5, 'deg']]"
833,5479,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 7.13671875, 'km/h']]"
834,5484,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -459.0, 'deg']]"
835,5491,705,ENG1S01,"[['EACCP', 15.5, '%']]"
836,5494,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -459.0, 'deg']]"
837,5505,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -457.5, 'deg']]"
838,5514,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -457.5, 'deg']]"
